path,Rock ID,type
Stone 6 filtered_v1/Rock6_534_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1103_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1286_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1245_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1250_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_224_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1331_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1688_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_865_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_670_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_734_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1226_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1676_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1172_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_668_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_731_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1429_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1551_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_214_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_722_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_980_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1473_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_386_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_352_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1693_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_672_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_674_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_481_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1260_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1718_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_247_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_631_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_562_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_935_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1603_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1442_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1122_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1021_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1469_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_212_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_412_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_506_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_838_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_614_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1049_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_762_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1612_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1553_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_133_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_692_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_778_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_305_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_947_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1262_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1637_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1700_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1267_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1022_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1356_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1659_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1131_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_707_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_769_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1674_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_298_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_800_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_878_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1241_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_395_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_682_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_120_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_533_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1371_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_873_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1265_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_286_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_179_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_820_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_172_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_153_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_394_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_192_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_509_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_968_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1580_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1432_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_521_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_697_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_729_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_348_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1595_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1452_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_388_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1277_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_678_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_209_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_626_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1462_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_141_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1398_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_479_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1694_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_310_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_307_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1208_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1369_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_476_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1121_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_983_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1480_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_997_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_404_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_191_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_182_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1365_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_586_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1515_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_802_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1712_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_145_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1455_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_535_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_413_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1508_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_372_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1153_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1288_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_554_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_353_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1425_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1270_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_912_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_202_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_441_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1231_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_808_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_892_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_393_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_455_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1073_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1616_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_517_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1089_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_577_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_786_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_114_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_594_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1384_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_587_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_550_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_389_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_948_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_743_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_275_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_435_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_867_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1492_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1460_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_270_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_208_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1687_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1261_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1497_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_801_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_117_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_687_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1036_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1175_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_471_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_578_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_427_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_656_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_98_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_327_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1186_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_243_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1218_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1249_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_207_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1638_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1096_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1689_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_421_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1483_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1060_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_203_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_841_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1366_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1306_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_669_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_343_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_313_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_679_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_383_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_809_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1348_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1702_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_227_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_767_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1532_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_876_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1110_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_596_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1482_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1152_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1542_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_821_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_784_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1011_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_240_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1617_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_107_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_696_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1618_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_365_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_611_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1053_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_108_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1707_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1657_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_252_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1064_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1370_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1070_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1628_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1024_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1546_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1714_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_175_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_791_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1077_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_646_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_408_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1337_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1300_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_379_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_466_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1507_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_283_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1509_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1448_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1391_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_418_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1098_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_217_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_486_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_742_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1598_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_547_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1503_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_908_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_961_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_125_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_943_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_405_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1538_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_294_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1490_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1544_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1681_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_110_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_111_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1661_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_402_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1651_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_545_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_515_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_190_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_783_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_124_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1292_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1576_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1107_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_541_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1386_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_694_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_396_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_723_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_291_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1061_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_201_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_602_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_911_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_519_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_129_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1217_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1728_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1287_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1301_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1381_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1259_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_257_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_770_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_254_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1388_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1666_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1099_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_205_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_119_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1685_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_255_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_840_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_700_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1558_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_981_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_528_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_793_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1427_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_991_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_913_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1713_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1363_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1135_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_184_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_969_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1573_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_636_filtered.png,6,Calcium
